Headline,Main Verbs,Gender,Active.role,Career.related,Facebook.likes,Date
Justin Bieber Is On The Road To Becoming A Better Person Ñ He Claims You Can See The Changes In His Eyes!,is become claim,m,1,0,223,3.31.2015
"Dame Helen Mirren Huffs Helium Through Her Interview With Jimmy Fallon! She's Cheeky, Raunchy, And Full Of Noble Gas!",huff is,f,1,1,86,3.31.2015
"Kendall Jenner, Gigi Hadid, Cara Delevingne, And More Make Karl Lagerfeld's Yacht The Most Beautiful Place To Party!",make,f,0,0,382,3.31.2015
Remember Those Rihanna Dating Leonardo DiCaprio Rumors? The Singer Is Finally Speaking Out About Them!,speak date,f,1,0,473,3.31.2015
"Justin Bieber's Comedy Central Roast Wasn't All Funny, It Was A Slap In The Face To The Trans Community!",is,m,0,0,1400,3.31.2015
Hilary Duff's Teal Hair Tries To Steal The Spotlight From These Sexy Spring Looks In NYC!,steal try,f,0,0,935,3.31.2015
Uh Oh! Karlie Kloss Replaces Taylor Swift With An Adorable Puppy ForÊPorterÊMagazine!,replace,f,0,1,5,3.31.2015
Snooki Celebrates Her Daughter Giovanna's Baptism!,celebrate,f,1,0,7,3.30.2015
Zayn Malik & Naughty Boy Just Dropped A Demo Ñ The Rumors Were True!! Listen To His Post-One Direction Debut HERE!!,drop is,m,1,1,1400,3.30.2015
Helen Mirren Wants To Be In AÊFast And FuriousMovie! She Loves Vin Diesel!!,want loves,f,1,1,13,3.30.2015
"Beyonc_, Rihanna, Madonna, & Alicia Keys Get Super Close At Jay Z's Tidal Launch!",get,f,1,0,5900,3.30.2015
Rob Kardashian Makes Rare Public Appearance Ñ Get A Glimpse Of What He Looks Like Now!,make look like,m,0,0,484,3.30.2015
One Direction's Louis Tomlinson Calls Out Naughty Boy On Twitter! Find Out What Their Feud Has To Do With Zayn Malik HERE!,call has,m,1,1,28,3.30.2015
Scott Disick Talks About The Probability Of A Baby Number Four For Him & Kourtney Kardashian!,talks,m,1,0,356,3.30.2015
Tori Spelling Celebrates Her Son's Birthday & Her MOM Is There?!,celebrate is,f,1,0,108,3.30.2015
J.K. Rowling'sÊThe Casual VacancyÊIs Coming To TV Sooner Than You Thought! Check Out The Miniseries Trailer HERE!,come,f,0,1,92,3.30.2015
Gigi Hadid's Social Media Skills Are Praised ByAdweekÊMagazine!,praise,f,0,1,85,3.30.2015
Jay Z And His Posse Make Waves Celebrating The Launch Of Tidal!! Check Out The Details Of His New Music And Video Streaming Service!,make waves celebrate,m,1,1,298,3.30.2015
The Man Behind Benedict Cumberbatch'sÊSherlockWants You To Know That The Detective Isn't GayÉ But He's Not Straight Either,want is,m,0,1,127,3.30.2015
Katy Perry Calls Out A Tabloid For False Pregnancy & Wedding Rumors! See What The Singer Said HERE!,call out say,f,1,0,213,3.30.2015
Wilco Cancels Indiana Show Over Controversial Religious Freedom Law!,cancel,m,1,1,988,3.30.2015
North West: What's In Her Easter Eggs??,,f,0,0,502,3.30.2015
Vanessa Hudgens Opens Up About Her Past Relationship With Zac Efron For The First Time In Years & Admits She Was 'Mean' While They Dated!,open up admit,f,1,0,418,3.30.2015
NeNe Leakes & Kim Zolciak Are Getting Their Own Spinoff Show!,get,f,0,1,1400,3.30.2015
"When It Comes To Workout Jams, Kendall Jenner Keeps It In The Fam! Check Out The Top 5 Songs That Get Her Pumping In The Gym HERE!",keep get,f,1,0,165,3.30.2015
Michelle Obama Is Joining Jimmy Fallon OnÊThe Tonight Show!,join,f,1,0,135,3.30.2015
Is Sam Smith Starting An Acting Career With Tom Cruise's Help?! Not According To SamÉ,start,m,1,1,399,3.30.2015
Naya Rivera Shows Off Her Baby Bump With Husband Ryan Dorsey! It's So Cute!,show off is,f,0,0,331,3.30.2015
Game Of ThronesÊCreator George R.R. Martin Won't Be Writing Any Season 6 Episodes Ñ Because Of This!!,write,m,1,1,111,3.30.2015
Bill Cosby Responds To A Heckler Who Interrupted His Stand Up Routine With Rape Allegations,respond interrupt,m,1,1,109,3.30.2015
Megan Fox Admits Her Son Noah Is 'Obsessed' With Kimonos InÊHarper's BazaarÊArabia!,admit is,f,1,0,306,3.30.2015
Sofia Vergara Posts Pic Of Joe Manganiello Holding Her Baby Niece Ñ Will He Get The Hint?,post get,f,1,0,545,3.30.2015
Bruce Jenner's Son Throws Some Expert Shade At Jamie Foxx Over iHeartRadio Music Awards Jokes! But Kevin Hart Is On His Shizlist Too!,throw shade is,m,1,0,582,3.30.2015
Hollywood Movie Mogul Harvey Weinstein Questioned By Police For Groping A Model In NYC,question grope,m,0,0,38,3.30.2015
"Meek Mill, Who?? Nicki Minaj Could Become Royalty If She Just Says Yes To The Late Princess Diana's Nephew!",become say,f,0,0,0,3.30.2015
