Headline,Main Verbs,Gender,Active.role,Career.related,Facebook.likes,Date
"Whoa, Are We Seeing Double?! Katy Perry Poses With An Almost Identical Look-A-Like!",pose,f,1,0,280,3.27.2015
Spring Breakers! Jessica Alba & Her Husband Join John Legend And Chrissy Teigen For Some Caribbean Sun!,join,f,1,0,727,3.27.2015
"Calvin Harris Totally Denied That Taylor Swift Was His 'Type' Months Ago! Who Wouldn't Want To Swipe Her Right, Calvin? WHO?!",deny is want,m,1,0,353,3.27.2015
Tony Award Winner Audra McDonald Joins The Cast Of Disney's Live Action Beauty & The Beast!,join,f,1,1,206,3.27.2015
Katie Holmes Shares A Rare Mother & Daughter Pic! We've Missed You Suri Cruise!,share,f,1,0,167,3.27.2015
"Ryan Reynolds Reveals His Deadpool Movie Costume In The Sexiest, Silliest, BEST WAY POSSIBLE!",reveal,m,0,1,424,3.27.2015
Amber Rose Responds To Body Shaming & Puts Her Ample BOOBS On Display! The Model Does Not Care What Anybody Thinks!,respond put care,f,1,0,11,3.27.2015
Jon Stewart Gives Jason Jones A Fitting Goodbye OnThe Daily Show!!!,give,m,1,1,79,3.27.2015
_Jake Gyllenhaal Is Shirtless And Jacked And Acting His Heart Out In Official Southpaw Trailer! Is He Gunning For An Oscar??,is gun,m,0,1,110,3.27.2015
"Getting Hosting Tips? James Corden Visits Conan, Talks Bathing With David Beckham!",visit talk,m,1,1,59,3.27.2015
Zooey Deschanel Talks Pregnancy Woes & Reveals She Doesn't Want To Know The Sex Of Her Baby!! WATCH!,talk reveal know,f,1,0,95,3.27.2015
"Watch Out, One Direction! Jimmy Fallon Starts His Own Boy Band… But There's A Creepy Catch!",start is,m,1,1,85,3.27.2015
"Ben Affleck Gives Testimony Before Congress, Calls Out His 'Co-Star' Senator Over His Multiple BatmanMovie Cameos!",give call out,m,1,1,4,3.27.2015
Did Iggy Azalea Get Butt Implants Too?? Wendy Williams Thinks The Rapper Needs To Come Clean!,get think need come clean,f,1,0,578,3.27.2015
Dr. Luke Reportedly Demands Kesha Hand Over Medical Records To Prove Sexual Assault,demand hand over prove,f,0,0,235,3.27.2015
Dina Lohan Turns Into Diva Lohan On Millionaire Matchmaker!,turn into,f,1,1,95,3.27.2015
The Feud Between Kylie Jenner & Blac Chyna Rages ON! Check Out The Pair's Latest Social Media Showdown HERE!,rage,f,1,0,898,3.27.2015
Kate Middleton Makes Her Final Appearance Before The Second Royal Baby's Birth!,make,f,1,0,0,3.27.2015
Points To Gryffindor! Emma Watson Is Number One On The AskMen’s Most Outstanding Women Of 2015 List! Who Did She Beat??,is beat,f,0,0,216,3.27.2015
Hilary Duff Nurses A Bad Sunburn!! OUCH!!,nurse,f,1,0,254,3.27.2015
Molly Sims Has Given Birth To An Adorable Baby Girl! See The First Pic & Learn The Cutie's Name HERE!,givebirth ,f,1,0,92,3.27.2015
Anna Kendrick Is Too HAWT To Keep Her Shirt Buttoned For Glamour UK's May Issue!,is keep,f,0,0,0,3.27.2015
EXCLUSIVE! Real Housewives Of Beverly Hills Gets REAL For The Reunion! Watch Lisa Vanderpump Criticize Brandi Glanville’s Foreign Cougaring!,criticize get ,f,1,0,637,3.27.2015
"Miley Cyrus, Hillary Clinton, & More Speak Out Against Indiana's New LGBT Discrimination Law!",speak out,f,1,0,656,3.27.2015
One Direction's Fans Go Nuts After It's Revealed Zayn Malik Is Working With Music Producer Naughty Boy! Read Their Furious Reactions HERE!,reveal work go nuts,m,1,1,262,3.27.2015
Hilarious! Billy Zane Thinks Heartbroken Zayn Tweets Are About Him!,think is,m,1,0,190,3.27.2015
Liv Tyler & Bella Thorne Show Off Their Stunning Figures At The New York Spring Spectacular's Opening Night!,show off ,f,0,0,0,3.27.2015
Zayn Malik's Fiancée Perrie Edwards Spotting WITH Her Engagement Ring — Zerrie's Love Lives On!,spotted live,f,0,0,200,3.27.2015
Jennifer Lopez And Casper Smart Are Totally Back Together!! Oh Wait… They Never Broke Up!?!?,is break up,f,1,0,392,3.27.2015
Zayn Malik Is Walking Away From Millions! Find Out How Much The Star Was Making In One Direction HERE!,walk make,m,1,1,231,3.27.2015
Katy Perry Mourns The End Of Her Tour With This Bondage-Inspired Look!,mourns,f,1,1,329,3.27.2015
Katy Perry Mourns The End Of Her Tour With This Bondage-Inspired Look!,are,f,0,0,326,3.27.2015
"Will Ferrell Brings A Bird With Him To Conan, Hilariously Refuses To Talk About It The Whole Time",bring refuse talk,m,1,0,2200,3.27.2015
One Direction Members Feel 'Played' By Zayn Malik! Get The Lowdown On The Singer's 'Shady' Behavior HERE!,feel played,m,0,1,337,3.27.2015
Zayn Malik Speaks Out For The First Time Since Leaving One Direction — What Does He Have To Say To His Fans?!,speak out has say leave,m,1,1,419,3.27.2015
The Veronicas Ruin New York!,ruin,f,1,1,12,3.27.2015
Nick Jonas Supports Zayn Malik's Decision To Leave One Direction!,support leave,m,1,1,7,3.27.2015
Taylor Swift Is Dating Calvin Harris & She Doesn't Care Who Knows — The Pair Were Spotted Getting All Snuggly At A Kenny Chesney Concert!!,date care know are get,f,1,0,1100,3.26.2015
Miley Cyrus Buys Enough Weed Candy To FeedSmoke Out A Village While She Copes With Her Tooth Being Pulled!,buy smoke cope pull,f,1,0,336,3.26.2015
Kelly Rowland Dishes On How She Lost Over 80 Pounds Of Baby Weight In Just Four Months!,dish lose,f,1,0,147,3.26.2015
Zac Efron's New Girlfriend Sami Miró Talks About What It's Like To Date An A-Lister,talk is date,m,0,0,532,3.26.2015
Fortune's World's 50 Greatest Leaders List Includes Jimmy Fallon And Taylor Swift!,include,m,0,1,380,3.26.2015
Michael Keaton & Taraji P. Henson Will Host Saturday Night Live In April! With THESE Musical Guests!,host,m,1,1,781,3.26.2015
Ed Sheeran Enjoys His Freedom As A Single Man By Crashing A Wedding! Best First Dance Ever,enjoy crash,m,1,0,1000,3.26.2015
Forget Bone Broth — Shailene Woodley's Newest Food Craze Is Eating Bugs! Slimy Yet Satisfying?,is eat,f,1,0,63,3.26.2015
Lindsay Lohan's Boob Slips Out Of Her Denim Jumpsuit During A Photo Shoot!,slip,f,0,0,105,3.26.2015
Reese Witherspoon & Husband Jim Toth Celebrate Their Fourth Anniversary!,celebrate,f,1,0,505,3.26.2015
Bella Thorne Opens Up About Dating Pamela Anderson's Son & Meeting The Baywatch Beauty For The First Time On The View!,open up date meet,f,1,0,91,3.26.2015
Downton Abbey Is Really Over! Creator Julian Fellowes Confirms Show's End After Season 6!,is confirm,m,1,1,215,3.26.2015
Kim Kardashian's BTS Pics From Her Elle France Shoot WILL Leave You Speechless! So. Much. Cleavage.,leave,f,0,0,133,3.26.2015
PerezTV #TBT EXCLUSIVE: Lizzie McGuire's Clayton Snyder Sings The Show's Theme Song While Letting Us Know What Really Happened To Ethan Craft!,sing let happen,m,1,1,227,3.26.2015
Real Housewives Of New Jersey Star Melissa Gorga Reveals She Writes Letters To Teresa Giudice In Prison,reveal write,f,1,0,114,3.26.2015
Was Zayn Malik Fired From One Direction Because He REFUSED To Get Help For His Alleged Drug And Alcohol Problem?!,fire refuse get help,m,0,1,932,3.26.2015
Britney Spears Opens Up About Her First Date With Boyfriend Charlie Ebersol! Get The Romantic & Delicious Deets HERE!,open up,f,1,0,598,3.26.2015
Rita Ora Goes Crotch-To-Crotch With Charli XCX! Fill In The Blank!,go,f,1,0,221,3.26.2015
Cinderella's Lily James Sings Like A True Disney Princess! See Her Version Of A Dream Is A Wish Your Heart Makes HERE!!,sing,f,1,1,147,3.26.2015
"Is Scott Disick Up To Something Illegal? Kim, Kris, & Khloé Get Answers In Sunday's Brand New Keeping Up With The Kardashians!",up to get,m,1,0,63,3.26.2015
Khloe Kardashian Attempts To Steal Kim's Thunder With A New Dye Job In Beverly Hills! See The Fresh BLONDER Look HERE!,attempt steal,f,1,0,453,3.26.2015
The First Photo Of Zayn Malik Post-Quitting One Direction Is HERE! Is He Starting His Solo Career Already?!,is start,m,1,1,666,3.26.2015
Derek Zoolander And Hansel Take Paris By Storm! Check Out Ben Stiller And Owen Wilson's Valentino Photoshoot HERE!!,take ,m,1,1,846,3.26.2015
You May Need To Bring Tissues To Furious 7 — Tyrese Calls Film's Paul Walker Tribute 'The Most Beautiful Thing You'll Ever See',call,m,1,1,1300,3.26.2015
Britney Spears Reveals She'd Get Married Again & Have Another Kid!,reveal get married have,f,1,0,898,3.26.2015
Jason Segel And Iron Man 3 Scribe Writing The Script For Yet Another Lego Movie!!!,write,m,1,1,104,3.26.2015
Drew Barrymore Compares Her Post-Baby Body To A… Kangaroo?! Say What?!,compare,f,1,0,212,3.26.2015
Kim Kardashian Goes Back To Her Natural Hair Color! R.I.P. Platinum Blonde!,go back,f,1,0,1700,3.26.2015
Did The Interview Go Too Far? Did It Make ANY Money?? See James Franco Spill All About The Controversial Comedy 3 Months Later HERE!,go make spill,m,1,1,126,3.26.2015
Kerry Washington Reveals She Tweeted During Labor In This Telling Interview With The Edit!,reveal tweet,f,1,1,2,3.26.2015
Spice Girls' Emma Bunton Talks About Chances Of A Twenty Year Reunion Happening!,talk,f,1,1,1200,3.26.2015
Jordana Brewster Remembers Furious 7 Co-Star Paul Walker In New Interview & Shoot With Bella Magazine,remember,f,1,1,235,3.26.2015
Amber Rose Loves Flaunting Her Ample ASSets! See Some Of Her Most Tantalizing Shots HERE!,love flaunt,f,0,0,327,3.26.2015
YOU THINK THIS IS A JOKE?? YouTuber Trolls News Station Coverage Of Zayn Malik Leaving One Direction,troll leave,m,0,1,173,3.26.2015
"Rihanna Unleashes Her New Single! Listen To The Full, Uncensored B*tch Better Have My Money HERE!",unleash,f,1,1,496,3.26.2015
Benedict Cumberbatch's Pregnant Wife Sophie Hunter Reveals Her Glorious Valentino Wedding Dress! See It HERE!,reveal,m,0,0,239,3.26.2015
"Harry Styles Wasn't Crying In Concert Because Of Zayn Malik Leaving One Direction — In Fact, He Wasn't Shedding Tears At All!",cry leave shed tears,m,1,1,517,3.26.2015
Lady GaGa & Perez Hilton: The 'Feud' Is Over!,is,f,0,0,31,3.26.2015
Jessica Biel Takes Her Baby Bump For A Nice Little Walk On The Beach — She Could Pop Any Day Now!!,take pop,f,1,0,276,3.26.2015
Kendall Jenner Is Officially The New Face Of Calvin Klein Jeans!,is,f,0,1,2500,3.26.2015
Simon Cowell Reassures One Direction Fans That Zayn Malik And Everyone Will Be A-Okay — Read His Positive Message HERE!,reasure is,m,1,1,223,3.26.2015
"Kim Kardashian Scores The Cover Of Elle France! Soak In All The Sexy Cleavage, Midriff, & Thigh HERE!",score,f,0,0,0,3.26.2015
Will Ferrell & Kevin Hart Link Minds On The Late Late Show With James Corden!! Watch The HIGHlarious Clip!,link,m,1,1,2,3.26.2015
Glee's Mark Salling Settles Sexual Assault Lawsuit With His Former Girlfriend For $2.7 Million — Get The Details HERE,settle,m,1,0,155,3.26.2015
Beyoncé Has 100 Unreleased Songs?! Will You Ever Get To Hear Them??,has,f,0,1,1800,3.26.2015
Kim Kardashian & Kanye West Reportedly Hired Their Own Professional Paparazzi For Fashion Week! No Wonder They Looked So Good In Candid Photos!,hire look,f,1,0,9,3.26.2015
"Hilary Duff Drops One Full Minute Of Her New Single, And It's SOOOOOOOO Good! Get Your First Listen ToSparks HERE!",drop,f,1,1,368,3.26.2015
Ed Sheeran Is SINGLE — Announces Split From Girlfriend Athina Andrelos!,is announce,m,1,0,1900,3.26.2015
Rita Ora Flashes Her Boobs In A Sheer Top In What May Or May Not Be A Wardrobe Malfunction!,flash is,f,0,0,0,3.26.2015
Chelsea Handler Reveals Her 'Weird' Experience With Bill Cosby,reveal,f,1,0,333,3.26.2015
Lea Michele And Kate Upton Are Teaming Up In Road Trip Sex Comedy The Layover!,team up,f,1,1,263,3.26.2015
Minka Kelly & Mandy Moore Flaunt Their Adorable Friendship At The Launch Of The Friday Night LightsStar's New Collab!,flash,f,0,0,0,3.26.2015
James Franco's UCLA Film Project The Heyday of the Insensitive Bastards Has An Amazing Cast!! Watch The First Look!!,has,m,0,1,121,3.26.2015
Amber Rose Poses Topless On A Beach In Maui — Do You Think She Knows Her Nipple Is Showing?!,pose know,f,1,0,8,3.26.2015
"Jimmy Fallon Plays Mitt Romney's Reflection In Hilarious Mitt In The Mirror Sketch! Plus, Mitt Blames WHO For Zayn Malik Quitting One Direction??",play blame,m,1,1,84,3.26.2015
Kim Kardashian's Boobs Are Ready To Break Free From This Risqué Studded Frock! See It HERE!,ready break free,f,0,0,338,3.26.2015
Billy Ray Cyrus Speaks Out On Patrick Schwarzenegger's Wild Spring Break! Does The Singer Believe The 21-Year-Old Did Anything Wrong?,speak out believe,m,1,0,152,3.26.2015
Christina Hendricks & January Jones Bring ALL The Glamour To Mad Men's Black And Red Ball!,bring,f,0,1,91,3.26.2015
Rihanna Is Ready To Drop Her New Single! See The Sexy Cover Art & Get Your First Listen HERE!,is ready drop,f,1,1,385,3.26.2015
Cissy Houston Speaks Out About Bobbi Kristina's Current Condition & Reveals She's At Peace With Whatever Is The Outcome,speak out reveal is,f,1,0,193,3.26.2015
Mariah Carey And James Corden Get Their Carpool Karaoke On For The Late Late Show!!,get on,f,1,0,1200,3.26.2015
The Remaining One Direction Boys Speak Out On Zayn Malik's Departure From The Band — Read And See Their Reactions HERE!,speak out ,m,1,1,317,3.26.2015
David Hasselhoff Stopped By American Idol To Perform A Ridiculous Medley For '80s Night!,stop by perform,m,1,1,46,3.26.2015
Are Taylor Swift & Calvin Harris A Thing!? These Candid Pics Totally Point To YES!!,is,f,0,0,1400,3.25.2015
Ted 3 Is Already A Reality?! Flash Gordon Reveals The Good News!,is reveal,m,1,1,5,3.25.2015
Kylie Jenner Records A Very High Kris After A Trip To Dentist!,record,f,1,0,338,3.25.2015
Jon Hamm Is A Mad Man No More Now That He's Completed Rehab!,is complete,m,1,0,188,3.25.2015
Steven Spielberg Set To Direct Highly Anticipated Sci-Fi Flick Ready Player One!,direct,m,1,1,16,3.25.2015
Tamar Braxton Breaks Into Tears On The Real — Who Could Her Alleged Bullier Be?,break into tears is,f,1,0,333,3.25.2015
Leighton Meester Admits To Being 'Less Concerned With Fashion For Fashion's Sake'! Is Blair Waldorf Dying On The Inside?,admit is die,f,1,0,0,3.25.2015
"Dwayne Johnson's SNL Promo Reveals His Porn Star Name, His New Catchphrase And Several Intentionally Corny, Awful Jokes",reveal,m,0,1,8,3.25.2015
Krysten Ritter's Looks Can Kill Filming AKA Jessica Jones!! Check Out Her Kick-Ass Look In These Photos!!,can kill film,f,0,1,11,3.25.2015
Thought Hilary Duff Was A Goody Two-Shoes When She Was Younger?? Think Again — She Just Admitted To Underaged Partying!,is admit,f,1,0,443,3.25.2015
Idris Elba Is Rumored To Be The Villain In The Next Star Trek Movie!!,is rumored is,m,0,1,536,3.25.2015
Serena Williams Out-Beyoncés Queen Bey With Her Own Killer 7/11 Video!,out-Beyoncé,f,1,0,602,3.25.2015
Arnold Schwarzenegger Tries To Protect Abigail Breslin During The Zombie Apocalypse! Watch The Emotional New Trailer For Maggie HERE!,try protect,m,1,1,24,3.25.2015
So Why Exactly Did Emilia Clarke Turn Down 50 Shades Of Grey?,turn down,f,1,1,280,3.25.2015
Cate Blanchett's Response To A Reporter's Dumb Question: 'That's Your F–king Question!?' Watch The Wickedly Funny Clip!!,is,f,1,1,680,3.25.2015
Christina Milian Admits She 'Considered' Having An Eating Disorder & Explains Why She Stays Out Of Chris Brown And Karrueche Tran's Relationship,admit consider explain stay,f,1,0,122,3.25.2015
Nate Berkus & His Husband Welcome Their First Daughter! Find Out The Little Girl's Name HERE!,welcome,m,1,0,5,3.25.2015
January Jones Transforms Into A Topless Siren And MORE For Violet Grey's Sexy Shoot!,transform,f,0,0,0,3.25.2015
"Happy 50th Birthday, Sarah Jessica Parker! Celebrate SPJ's Milestone With A Throwback Clip Of Her Dancing In The '80s Classic Girls Just Want To Have Fun!",dance,f,0,1,1000,3.25.2015
Jonathan Groff DOES Need To Start Looking For More Work… Because His HBO Series Has OFFICIALLY Been Cancelled,need start look is cancel,m,1,1,265,3.25.2015
Taylor Swift Receives A Half-Hearted Apology From Princeton Review! Find Out What They Did Wrong And How They're Gonna Correct It HERE!,receive did correct,f,0,1,83,3.25.2015
One Direction Fans Call Zayn Malik's Fiancée Perrie Edwards 'Yoko Ono' After He Announces His Departure From The Band — But Will That Stop Him From Marrying Her Within The Year?!,call announce stop marry,m,0,1,1800,3.25.2015
Ludacris Has A Favorite Movie And It Isn't What You'd Expect…,has,m,0,0,120,3.25.2015
The Internet Reacts To Zayn Malik's Departure From One Direction — Their Tears May Just Fix California's Drought!,react fix,m,0,1,706,3.25.2015
Jeremy Renner's Estranged Wife Is Allegedly Trying To Extort The Actor Over A Green Card?! Get The Strange Deets HERE!,try extort,m,0,0,60,3.25.2015
Jimmy Kimmel Unveils New Game Of Thrones Clip With His Guest Maisie Williams! Arya Stark Talks Big Season 5 Changes HERE!,unveil talks,m,1,1,103,3.25.2015
Zayn Malik Was Full Of Thought-Provoking Tweets Before He Left One Direction — See How He's Always Trusted His Gut Feelings HERE!,is trust,m,1,1,256,3.25.2015
Zooey Deschanel Finally Shows Off Her Diamond Engagement Ring And It's HUGE!,show off,f,0,0,222,3.25.2015
See Jesse Eisenberg — And His Big Bald Head — As Lex Luthor In First Pic From Batman v SupermanHERE!,,m,0,1,400,3.25.2015
Calvin Harris Shows Off His SeXXXy Six Pack And Reveals His Secret For Getting Those Highly Coveted Muscles!,show off reveal,m,0,0,8,3.25.2015
Sarah Hyland Shows Off Her New Haircut While Shopping With Boyfriend Dominic Sherwood!,show off shop,f,0,0,1,3.25.2015
Top Gear's Jeremy Clarkson Officially Fired By The BBC!,fire,m,0,1,504,3.25.2015
Celine Dion Announces Her Official Return To Las Vegas And Says It Was Her Ill Husband's 'Wish That I Come Back',announce say,f,1,1,1100,3.25.2015
Bethenny Frankel's Ex-Husband Jason Hoppy May Sue Her For Candid Remarks About Failed Marriage On Watch What Happens Live!,sue,f,0,0,2,3.25.2015
Zayn Malik Has Left One Direction,leave,m,1,1,1000,3.25.2015
Bill O'Reilly Defends Brian Williams… And Himself… On Letterman!,defend,m,1,1,42,3.25.2015
Rob Kardashian Is Refusing The Help His Family So Desperately Wants Him To Get — They've Staged Multiple Interventions & More,refuse want get stage,m,1,0,258,3.25.2015
"Are Empire's Trai Byers And Grace Gealey Hooking Up Off Screen?! Get It, Boo Boo Kitty!",hook up,m,1,0,383,3.25.2015
"Sam Smith, Metallica, & Sir Paul McCartney Lead A HUGELY Diverse Lineup At Lollapalooza 2015! See The Massive List HERE!",lead,m,1,1,230,3.25.2015
Did Kylie Jenner Just Throw MAJOR SHADE At Blac Chyna?! Check Out The Not-So-Subtle Burn Towards Tyga's Ex HERE!,throw shade,f,1,0,381,3.25.2015
Cara Delevingne And 18-Year-Old Model Line Brems Are Total Twins! Check Out Their Uncanny Resemblance!,are,f,0,0,312,3.25.2015
